type,approved_id,approved_time,approved_labels,approved_heroes,approved_result,pipeline_id,pipeline_time,pipeline_labels,pipeline_heroes,pipeline_result,detail,approved_comment
approved_comment,147,38:16-38:39,高地团 / 小规模冲突,天辉：玛尔斯、电炎绝手；夜魇：拉比克、祈求者,击杀结果：天辉 0 - 2 夜魇；死亡：38:27 玛尔斯、38:39 电炎绝手,,,,,,团战地点在高地外,团战地点在高地外
approved_comment,165,44:23-45:12,肉山尝试,天辉：巫妖；夜魇：拉比克、树精卫士、酒仙,,,,,,,人物漏了玛尔斯,人物漏了玛尔斯
approved_comment,166,44:47-45:18,团战,天辉：巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：未记录英雄击杀；死亡：无,,,,,,结果错误。击杀结果：天辉 0-2夜魇；死亡：44:58朗戈、45:10电炎绝手,结果错误。击杀结果：天辉 0-2夜魇；死亡：44:58朗戈、45:10电炎绝手
approved_missing_in_pipeline,6,00:00-05:00,对线分路,天辉：小小；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,7,00:00-05:00,对线分路,天辉：巫妖；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,8,00:00-05:00,对线分路,天辉：朗戈；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,9,00:00-05:00,对线分路,天辉：玛尔斯；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,10,00:00-05:00,对线分路,天辉：电炎绝手；夜魇：无,分路结果：中路 (mid); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,11,00:00-05:00,对线分路,天辉：无；夜魇：拉比克,分路结果：劣势路 (bot); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
approved_missing_in_pipeline,12,00:00-05:00,对线分路,天辉：无；夜魇：树精卫士,分路结果：优势路 (top); 无>1min次要路,,,,,,approved row has no fuzzy pipeline match,
